#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=400 vbv_bufsize=800 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:32.72 aq:31.87 tex:2263 mv:1607 misc:514 imb:1 pmb:160 smb:759 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:32.66 aq:27.23 tex:28309 mv:4197 misc:646 imb:58 pmb:403 smb:459 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:32.78 aq:30.61 tex:4664 mv:2864 misc:600 imb:1 pmb:220 smb:699 d:t ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:32.96 aq:32.58 tex:57 mv:259 misc:444 imb:0 pmb:92 smb:828 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:32.80 aq:34.44 tex:1816 mv:1347 misc:413 imb:2 pmb:125 smb:793 d:- ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:32.40 aq:25.73 tex:38182 mv:4042 misc:768 imb:36 pmb:472 smb:412 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:32.77 aq:33.26 tex:2196 mv:2019 misc:441 imb:5 pmb:126 smb:789 d:t ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:32.30 aq:26.16 tex:20410 mv:3138 misc:708 imb:13 pmb:415 smb:492 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:32.58 aq:33.12 tex:844 mv:989 misc:439 imb:0 pmb:89 smb:831 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:32.58 aq:29.00 tex:9 mv:165 misc:274 imb:0 pmb:34 smb:886 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:32.57 aq:32.47 tex:342 mv:400 misc:394 imb:0 pmb:70 smb:850 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:32.45 aq:26.65 tex:20170 mv:2808 misc:710 imb:17 pmb:381 smb:522 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:32.53 aq:31.57 tex:2227 mv:1492 misc:513 imb:1 pmb:127 smb:792 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:32.66 aq:35.03 tex:47 mv:302 misc:411 imb:0 pmb:82 smb:838 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:32.58 aq:34.34 tex:612 mv:399 misc:325 imb:0 pmb:46 smb:874 d:- ref:0 ;
